((	V_Oriental	51925	PSC	Servicios	1.17	0.00	0.00	0.01	0.10	0.65	0.00	0.00	0.04	0.07	0.61	0.04	p133	p128	p124	))
((	V_Oriental	748	Otros	Industria	2.01	0.00	0.00	2.41	0.00	0.94	0.13	0.00	0.67	0.94	1.47	0.13	p136	p128	p123	))
((	Barcelones	247986	PSC	Servicios	0.21	0.07	0.05	0.01	0.01	0.26	0.00	0.00	0.04	0.07	0.15	0.01	p133	p128	p124	))
((	V_Oriental	11770	PSC	Industria	0.10	0.00	0.00	0.00	0.04	0.18	0.00	0.00	0.01	0.03	0.18	0.01	p133	p128	p124	))
((	V_Oriental	8995	CiU	Industria	2.42	0.00	0.00	2.10	0.33	0.24	0.02	0.02	0.81	0.62	0.86	0.34	m11	m12	m12	))
((	V_Oriental	4954	CiU	Industria	1.45	0.00	0.00	1.17	0.30	0.04	0.02	0.02	0.57	0.36	0.18	0.36	p133	p128	p124	))
((	V_Oriental	6710	PSC	Industria	1.33	0.00	0.00	0.75	0.01	0.15	0.00	0.03	0.16	0.39	0.22	0.10	p133	p128	p124	))
((	Maresme	13277	PSC	Servicios	2.01	0.00	0.00	0.07	0.32	2.48	0.00	0.00	0.44	0.45	1.94	0.03	p129	p128	p124	))
((	Baix_Llobregat	19969	CiU	Servicios	2.29	0.00	0.69	0.04	0.00	0.45	0.00	0.00	0.01	0.23	0.23	0.01	p132	r156	z9	))
((	V_Oriental	4891	CiU	Industria	0.63	0.00	0.00	0.14	0.29	0.06	0.00	0.02	0.08	0.08	0.29	0.02	p133	p128	p124	))
((	Maresme	21076	CiU	Servicios	0.25	0.00	0.00	0.09	0.01	0.10	0.00	0.00	0.02	0.07	0.10	0.01	p129	p128	p124	))
((	V_Occidental	6533	CiU	Servicios	1.84	0.31	0.00	1.84	0.23	0.46	0.00	0.05	0.32	1.07	0.84	0.24	p129	p128	p124	))
((	Maresme	104095	PSC	Servicios	1.32	0.05	0.16	0.04	0.10	0.82	0.00	0.01	0.14	0.13	0.62	0.06	p129	p128	p124	))
((	Alt_Penedes	1346	CiU	Industria	0.07	0.00	0.00	1.19	0.37	0.45	0.07	0.07	1.26	0.22	0.37	0.00	m11	m12	m12	))
((	Baix_Llobregat	19366	IC	Servicios	0.94	0.62	0.37	0.43	0.17	2.37	0.00	0.00	0.11	0.09	2.72	0.05	p132	r156	MOLINS	))
((	V_Oriental	45324	PSC	Servicios	1.44	0.10	0.39	0.01	0.05	0.90	0.00	0.00	0.01	0.09	0.83	0.04	p133	r152	z9	))
((	V_Occidental	27348	PSC	Industria	1.79	0.00	0.55	0.22	0.12	0.55	0.00	0.01	0.04	0.07	0.68	0.08	p132	r153	z9	))
((	Maresme	8089	CiU	Industria	1.74	0.00	0.00	0.01	0.00	0.20	0.00	0.00	0.00	0.00	0.21	0.00	p129	p128	p124	))
((	V_Oriental	8332	PSC	Industria	0.54	0.00	0.00	0.02	0.18	0.20	0.00	0.00	0.02	0.24	0.14	0.00	p133	p128	p124	))
((	V_Oriental	12195	PSC	Industria	0.43	0.00	0.00	0.16	0.08	0.54	0.00	0.00	0.07	0.06	0.61	0.05	p133	p128	p124	))
((	V_Oriental	305	Otros	Construccion	3.93	0.00	0.00	1.64	0.00	0.00	0.00	0.00	0.00	1.31	0.33	0.00	p133	p128	p124	))
((	Alt_Penedes	2121	CiU	Industria	2.40	0.00	0.05	1.74	1.18	0.00	0.00	0.05	0.38	1.89	0.42	0.19	p133	p128	p124	))
((	Alt_Penedes	876	CiU	Industria	4.79	0.00	0.00	3.65	0.00	2.05	0.11	0.34	1.03	1.03	1.14	2.05	m11	m12	m12	))
((	Baix_Llobregat	16750	PSC	Industria	1.99	0.63	0.11	0.34	0.19	2.77	0.01	0.01	0.35	0.29	2.21	0.42	p129	p128	p124	))
((	Garraf	1165	IC	Servicios	3.35	0.09	0.00	5.58	0.34	0.43	0.17	0.60	1.72	2.40	1.03	0.43	g3	g3	r159	))
((	Maresme	441	CiU	Servicios	1.13	0.00	0.00	0.00	1.13	0.00	0.00	0.45	0.00	0.68	0.00	0.00	p129	p128	p124	))
((	Alt_Penedes	652	CiU	Industria	1.38	0.00	0.00	1.99	0.31	0.00	0.15	0.00	0.61	0.61	0.61	0.31	p136	p128	p123	))
((	Maresme	4940	PSC	Servicios	1.72	0.00	0.00	0.45	1.01	1.86	0.00	0.12	0.24	0.32	1.94	0.69	p129	p128	p124	))
((	V_Occidental	10760	PSC	Servicios	0.73	0.00	0.00	0.46	0.30	0.33	0.00	0.01	0.17	0.25	0.56	0.09	p129	p128	p124	))
((	Baix_Llobregat	7128	CiU	Servicios	4.52	0.52	0.42	0.56	0.04	3.04	0.00	0.21	0.43	0.28	1.59	1.14	p132	r156	r159	))
((	Baix_Llobregat	3434	Otros	Industria	0.90	0.00	0.00	0.12	0.00	0.67	0.00	0.32	0.09	0.00	0.38	0.00	p129	p128	p124	))
((	V_Oriental	14008	PSC	Industria	1.85	0.00	0.00	0.49	0.34	0.51	0.00	0.04	0.16	0.46	0.56	0.11	p133	p128	p124	))
((	Maresme	19209	PSC	Servicios	2.68	0.00	0.00	0.05	0.37	1.88	0.00	0.00	0.31	0.26	1.24	0.48	p129	p128	p124	))
((	Alt_Penedes	915	CiU	Servicios	2.62	0.00	0.00	0.11	0.00	0.22	0.00	0.00	0.00	0.22	0.11	0.00	p133	p128	p124	))
((	V_Occidental	4412	PSC	Industria	1.97	5.67	0.00	0.48	0.54	4.78	0.00	0.00	0.20	0.25	3.74	1.61	p140	p128	p126	))
((	Alt_Penedes	349	PP	Servicios	0.00	0.00	0.00	0.86	0.57	0.00	0.00	0.29	0.57	0.29	0.00	0.29	p121	p128	p124	))
