(( 41225.1 39000 42004.1 542.8 262450 46.4 7.8 372 270 528 284 7.8 68 49 220 125 7.7 11.6 6.4 70 10 510 1970 1552 13.38 ))
(( 43900 39000 43304 564 221200 55.9 7.7 216 158 480 250 7.5 98 68 226 136 7.3 11.3 8.5 27 17.3 480 1994 1558 12.96 ))
(( 43556.3 39000 42938.7 558.2 218420 56.9 7.6 232 168 448 203 7.5 89 69 233 142 7.5 24 18 27 22 370 1735 1349 9.28 ))
(( 43580.6 39000 42520.1 519.1 156320 53.7 7.4 322 242 547 381 7.3 98 71 242 146 7.3 22.4 14.8 54 35 160 1538 185 9.29 ))
(( 46001.4 39000 41711.8 554.4 195660 40.3 7.4 356 292 543 315 7.4 92 71 262 159 7.4 16.8 14 54 45 150 1541 1186 9.99 ))
(( 44495.5 39000 42968.8 532.5 205550 57.9 7.6 412 314 706 308 7.5 108 78 244 122 7.6 13.2 10.4 54 20 140 1662 1304 10.91 ))
(( 40226.1 39000 42440.3 526.6 217500 49.4 ? ? ? 770 ? ? ? ? 244 ? ? ? ? 27 ? 170 1927 1422 14.8 ))
(( 37459.1 36978.4 42193.9 537.9 208860 47.4 7.3 314 240 489 285 7.3 76 58 226 120 7.4 7.2 6.8 45 9 180 1590 1250 ? ))
(( 39131.7 39000 43176.8 568 209170 56.4 7.4 382 304 808 641 7.3 108 92 293 224 7.4 9.9 7.9 35.3 10 240 1679 1322 10.69 ))
(( 44008.4 39000 43300 540 210710 54.8 7.3 462 336 889 370 7.3 128 92 334 180 7.4 21.2 13.2 62 28 390 1782 1409 10.1 ))
(( 46946.1 39000 43395.1 960.3 193010 56.9 7.5 234 146 438 190 7.4 126 86 265 151 7.5 14.8 12.8 20 15 280 1836 1432 6.54 ))
(( 41430.6 39000 42732.2 530.9 185410 58.4 7.4 152 122 429 177 7.2 100 74 265 155 7.2 11.2 6.8 27 12 280 1596 1233 10.1 ))
(( 44896 39000 44199.5 538.3 196250 55.7 7.5 280 220 625 341 7.4 116 78 253 172 7.6 16.8 10.4 ? 13 380 1785 1380 10.66 ))
(( 42246.5 39000 43490.9 548.8 171080 46.2 ? ? ? 206 ? ? ? ? ? ? ? ? ? 35 ? 370 1758 1343 11.03 ))
(( 43422.3 39000 42292.5 545.1 124120 51.9 7.5 150 85 287 126 7.6 61 31 143 103 7.7 12 8.4 27 12 370 1606 1236 11.79 ))
(( 44213.5 39000 44688.2 536.2 156920 58.7 7.6 157 118 344 156 7.5 101 72 217 121 7.5 11.2 8.1 36 13 556 1761 1324 11.2 ))
(( 43820 39000 43261 564 175730 59.7 7.6 181 146 425 165 7.5 93 62 280 120 7.5 14.8 11.2 72 15 560 1840 1399 9.64 ))
(( 48080 39000 44952 542.8 176060 57.4 7.5 235 174 503 218 7.3 103 75 292 160 7.2 20.4 15.2 54 24 510 1886 1436 8.9 ))
(( 42426.7 39000 41946.7 527.8 207060 53.7 7.4 207 155 439 273 7.2 92 67 206 147 7.4 35.6 26.4 35 20 390 1960 1512 7.87 ))
(( 41177 39000 43351.5 532.5 305550 58.6 7.6 244 194 513 375 7.6 81 63 218 146 7.7 15 14 95 10 240 1516 1174 9.09 ))
(( 41111.1 39000 42448.9 527.8 331990 44.1 7.4 352 286 ? ? 7.4 73 59 ? ? 7.2 18 16 ? ? 280 1768 1336 10.72 ))
(( 44818.6 39000 44568.6 563.4 299520 44.1 7.7 360 278 646 320 7.6 100 75 269 124 7.3 20 17.6 36 12 280 1725 1342 10.03 ))
(( 43322.6 39000 44288.7 545.7 319850 47.2 ? ? ? 543 ? ? ? ? 389 ? ? ? ? 87 ? 380 2015 1554 13.11 ))
(( 37003.1 36500.2 42670.4 555.9 302740 51.4 7.3 265 213 534 234 7.4 106 81 307 164 7.1 14 20.4 63 22 440 2028 1574 11.66 ))
(( 40803.4 39000 43581.7 538.1 212630 38.9 7.7 194 153 643 204 7.7 141 116 353 217 7.6 8.7 6.5 39 13.7 310 2226 1739 14.41 ))
(( 43360 39000 42823 534.4 221750 43 7.5 196 157 358 374 7.5 117 87 332 ? 7.3 16.4 12 36 18 600 2344 1847 13.85 ))
(( 45910.6 39000 45516.4 570 281170 47.9 7.4 145 133 439 ? 7.3 102 72 329 156 7.2 11 6 18 ? 640 2370 2004 14.95 ))
(( 40979.1 39000 42795.2 531.7 367840 47.3 7.4 203 168 444 195 7.4 101 71 284 146 7.2 40.4 34 76 40 460 1669 1250 7.48 ))
(( 44088.8 39000 49527 534.4 322250 46.4 7.4 288 235 ? 262 7.3 94 73 ? 158 7.3 25.6 20.4 ? 28 340 1677 1293 9.35 ))
(( 40041.9 39000 43246.7 560.2 330750 47.9 ? ? ? 510 ? ? ? ? 211 ? ? ? ? 79 ? 400 1760 1377 10.2 ))
(( 41225.1 39000 42004.1 542.8 262450 47.9 7.8 372 270 528 284 7.8 68 49 220 125 7.7 11.6 6.4 70 10 510 1970 1552 13.38 ))
(( 43900 39000 43304 564 221200 56.8 7.7 216 158 480 250 7.5 98 68 226 136 7.3 11.3 8.5 27 17.3 480 1994 1558 12.96 ))
(( 43556.3 39000 42938.7 558.2 218420 45.6 7.6 232 168 448 203 7.5 89 69 233 142 7.5 24 18 27 22 370 1735 1349 9.28 ))
(( 43580.6 39000 42520.1 519.1 156320 47.5 7.4 322 242 547 381 7.3 98 71 242 146 7.3 22.4 14.8 54 35 160 1538 185 9.29 ))
(( 46001.4 39000 41711.8 554.4 195660 49.8 7.4 356 292 543 315 7.4 92 71 262 159 7.4 16.8 14 54 45 150 1541 1186 9.99 ))
(( 44495.5 39000 42968.8 532.5 205550 42.2 7.6 412 314 706 308 7.5 108 78 244 122 7.6 13.2 10.4 54 20 140 1662 1304 10.91 ))
(( 40226.1 39000 42440.3 526.6 217500 45.2 ? ? ? 770 ? ? ? ? 244 ? ? ? ? 27 ? 170 1927 1422 14.8 ))
(( 37459.1 36978.4 42193.9 537.9 208860 49.6 7.3 314 240 489 285 7.3 76 58 226 120 7.4 7.2 6.8 45 9 180 1590 1250 ? ))
(( 39131.7 39000 43176.8 568 209170 47.3 7.4 382 304 808 641 7.3 108 92 293 224 7.4 9.9 7.9 35.3 10 240 1679 1322 10.69 ))
(( 44008.4 39000 43300 540 210710 45.5 7.3 462 336 889 370 7.3 128 92 334 180 7.4 21.2 13.2 62 28 390 1782 1409 10.1 ))
(( 46946.1 39000 43395.1 960.3 193010 53.4 7.5 234 146 438 190 7.4 126 86 265 151 7.5 14.8 12.8 20 15 280 1836 1432 6.54 ))
(( 41430.6 39000 42732.2 530.9 185410 49.5 7.4 152 122 429 177 7.2 100 74 265 155 7.2 11.2 6.8 27 12 280 1596 1233 10.1 ))
(( 44896 39000 44199.5 538.3 196250 48.4 7.5 280 220 625 341 7.4 116 78 253 172 7.6 16.8 10.4 ? 13 380 1785 1380 10.66 ))
(( 42246.5 39000 43490.9 548.8 171080 0 ? ? ? 206 ? ? ? ? ? ? ? ? ? 35 ? 370 1758 1343 11.03 ))
(( 43422.3 39000 42292.5 545.1 124120 0 7.5 150 85 287 126 7.6 61 31 143 103 7.7 12 8.4 27 12 370 1606 1236 11.79 ))
(( 44213.5 39000 44688.2 536.2 156920 0 7.6 157 118 344 156 7.5 101 72 217 121 7.5 11.2 8.1 36 13 556 1761 1324 11.2 ))
(( 43820 39000 43261 564 175730 0 7.6 181 146 425 165 7.5 93 62 280 120 7.5 14.8 11.2 72 15 560 1840 1399 9.64 ))
(( 48080 39000 44952 542.8 176060 0 7.5 235 174 503 218 7.3 103 75 292 160 7.2 20.4 15.2 54 24 510 1886 1436 8.9 ))
(( 42426.7 39000 41946.7 527.8 207060 0 7.4 207 155 439 273 7.2 92 67 206 147 7.4 35.6 26.4 35 20 390 1960 1512 7.87 ))
(( ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ))
(( 35285 34782.5 40935.3 495.4 241241 48 7.6 129 99 278 177 7.5 85 58 179 101 7.3 9.6 8 20 13 150 1492 1158 11.23 ))
(( 41296.6 39000 41096.3 501.3 270891 52 7.6 297 239 462 254 7.6 108 82 280 165 7.4 9.6 8 27 15 170 1840 1429 13.2 ))
(( 40147 39000 41169.8 500.7 278141 48.5 7.7 252 198 509 152 7.7 110 83 373 150 7.4 10.4 8.8 32 16 170 1893 1472 13 ))
(( 41227.4 39000 40636.6 498.1 286051 43.7 7.6 187 154 581 282 7.6 98 75 355 194 7.3 11.2 8.8 34 21 170 1873 1451 12.54 ))
(( 39776.8 39000 41193.2 505.3 274071 52 ? ? ? 423 ? ? ? ? 298 ? ? ? ? 26 ? 170 1880 1462 16.48 ))
(( 37860.7 37385 40633.9 496.2 225601 48.2 ? ? ? 756 ? ? ? ? 227 ? ? ? ? 26 ? 180 ? ? ? ))
(( 37139.8 36641.7 42228.1 516.9 251991 53.2 7.6 133 94 327 74 7.6 87 68 246 36 7.5 13.6 6.4 28 2 180 1604 1250 11.2 ))
(( 39780.6 39000 38916.6 475.8 304351 62.9 7.6 175 135 506 179 7.5 95 72 341 118 7.4 12 8 30 12 170 1734 1358 13.13 ))
(( 47392.1 39000 42601.8 521.5 253571 53.2 7.6 274 202 568 183 7.5 91 66 251 101 7.3 8 5.2 30 13 180 1853 1356 12.07 ))
(( 40658.3 39000 34589.3 389.5 177711 56.2 7.8 114 61 270 78 7.6 64 34 102 40 7.7 3.2 1.8 46 5 190 2049 1572 15.47 ))
(( 49436.6 39000 41088.7 508.1 236471 57.9 7.9 147 116 329 ? 7.7 69 47 228 ? 7.6 8 6.4 91 ? 180 1800 1370 13.54 ))
(( 48215.5 39000 40658 509.4 202811 52.1 7.7 184 91 237 ? 7.5 106 61 192 ? 7.3 8 6.8 36 ? 180 1813 1364 13.21 ))
(( 43367.7 39000 38204.4 483.3 228071 52.8 ? ? ? 292 ? ? ? ? 201 ? ? ? ? 36 ? 200 2070 1374 28.84 ))
(( 43820.8 39000 39600.5 493.6 231941 48.7 7.7 110 80 311 102 7.6 73 51 173 90 7.4 8.4 5.6 20 5 180 1528 1138 12.62 ))
(( 48898.5 39000 41138.9 515.5 264791 54.2 7.8 195 148 511 144 7.4 88 64 260 82 7.4 12 8.4 58 21 190 1687 1270 11.43 ))
(( 45191.6 39000 40299.5 498.9 271511 56.1 7.7 177 134 440 100 7.6 85 63 229 96 7.4 6.8 5.6 18 8 200 1876 1418 13.87 ))
(( 45761.2 39000 40602.7 494.2 283351 25.7 7.6 156 126 413 129 7.6 85 64 237 105 7.4 8 5.6 17 11 200 1758 1339 12.46 ))
(( 42952.9 39000 39027.3 471.4 295701 89.8 7.7 167 136 341 195 7.5 85 65 267 117 7.4 6.4 4.8 55 13 210 1917 1456 16.75 ))
(( 47969 39000 41067.4 503.7 304571 57.6 7.6 178 144 547 353 7.6 84 62 270 160 7.5 5.2 4.4 36 24 200 1906 1453 15.15 ))
(( 44395.1 39000 40526.7 495.7 311091 50.6 ? ? ? 402 ? ? ? ? 237 ? ? ? ? 64 ? 220 2139 1637 18.21 ))
(( 41032.6 39000 39969.6 497.8 260041 50.1 7.7 164 128 393 ? 7.6 69 47 228 ? 7.6 5.2 3.6 20 ? 210 1498 1142 10.87 ))
